Id,SalePrice
1461,122021.90410627276
1462,124716.7152317825
1463,168678.1690124826
1464,195541.1638727303
1465,182642.34727985124
1466,176068.05820793932
1467,195276.88870252614
1468,173034.68953838694
1469,195383.7858792788
1470,118800.25320054806
1471,197686.65883902495
1472,100408.79279809889
1473,92594.28856913118
1474,161353.52915894735
1475,126247.27264345379
1476,340044.1516341826
1477,253525.8663314929
1478,291932.9812990313
1479,278728.49316051224
1480,434948.56832400727
1481,315229.70389054745
1482,221018.3059950353
1483,165319.10551857162
1484,164215.8204581238
1485,205376.7567543341
1486,203872.77965050537
1487,337217.42652123654
1488,242261.09142279075
1489,171981.385559677
1490,215232.52905997337
1491,194295.73498351284
1492,98678.32442793272
1493,224415.27893774622
1494,309939.8534883744
1495,306161.1191943541
1496,209892.58510493423
1497,164777.96290915547
1498,155465.95965045117
1499,167793.68629655035
1500,154303.34410415427
1501,153371.1511783485
1502,152935.09272980012
1503,285528.7043916625
1504,243431.90702337635
1505,216770.78766608518
1506,184520.96986409146
1507,234987.043035893
1508,185526.60011756074
1509,160115.21407761774
1510,137361.47501583997
1511,138688.0912278012
1512,166504.25091760835
1513,143477.9217679795
1514,144093.62731880785
1515,187047.99866987043
1516,145353.242870793
1517,158025.48376926215
1518,127386.32569556155
1519,208318.40950214778
1520,119846.2079795358
1521,113356.27030194257
1522,184136.27138573423
1523,97771.35893048643
1524,115280.4104990515
1525,111321.3328919652
1526,101552.64021252423
1527,105775.22544529525
1528,154186.87269983834
1529,134004.92466123184
1530,217588.39830752916
1531,112146.59603062058
1532,109671.9829225067
1533,151348.2258108452
1534,129164.47175581052
1535,145155.93437576448
1536,110023.5840954776
1537,76260.83780564192
1538,170691.34590424167
1539,192313.974331751
1540,86355.7486862913
1541,141657.27394274174
1542,133858.05378538376
1543,177043.80467857423
1544,98998.01210510923
1545,127833.02072628336
1546,146361.02579604113
1547,138539.33269318502
1548,137167.27105814367
1549,122372.00369558032
1550,128125.63250806539
1551,125168.12360370645
1552,136362.96044641428
1553,142883.05188296724
1554,128337.19216775481
1555,145488.0630576392
1556,95293.02996246086
1557,90008.38308749656
1558,104225.39130403055
1559,79786.00407059083
1560,121741.40932119446
1561,113648.13032586973
1562,134808.73222141105
1563,117424.62453006818
1564,154172.77622680482
1565,148107.48409268775
1566,239087.69773804347
1567,85133.73064405308
1568,200520.9165083458
1569,108426.57196004294
1570,151076.77468722098
1571,129968.85862541178
1572,140058.25008012346
1573,227545.01156651112
1574,119230.53515542911
1575,221750.31975133656
1576,252579.3375582044
1577,181583.01534259398
1578,135531.5532283212
1579,135655.21219346655
1580,202270.59099242088
1581,163449.89080608074
1582,133190.80405295352
1583,307158.07489059644
1584,224690.22348893993
1585,140526.95682086388
1586,88081.85408205344
1587,110916.90095182192
1588,143351.68713870845
1589,105749.29317901543
1590,142667.03719656446
1591,87846.7884443404
1592,119032.08638627984
1593,140839.01492020625
1594,128191.8288274286
1595,98247.25264978253
1596,198553.5625783396
1597,153157.576387417
1598,202222.2831654926
1599,188220.71521486092
1600,179523.7901603507
1601,62499.791504804656
1602,104716.58836947178
1603,83981.70810009248
1604,243158.99337367143
1605,263686.43402196054
1606,175143.182843132
1607,171982.16815753462
1608,225306.25012166292
1609,179579.92019692046
1610,155470.1224401317
1611,147300.13020554636
1612,157925.39738322093
1613,172994.54166326017
1614,121979.14964583567
1615,87315.52487026191
1616,75850.12745695781
1617,92488.84083418478
1618,126949.35722496218
1619,152529.21707228245
1620,165354.57537603698
1621,138726.77012905438
1622,138746.6797025628
1623,282070.52443225996
1624,199938.7658457535
1625,117053.42585002216
1626,175179.18315775422
1627,185801.03153398135
1628,273940.3920172047
1629,190372.1426592084
1630,297020.90195650514
1631,200499.56913941432
1632,212957.80230237034
1633,189838.46761095477
1634,196171.81034332287
1635,187788.83290620288
1636,166822.54141278664
1637,187965.10239203525
1638,204346.27242288284
1639,187758.51257286864
1640,250254.49882046567
1641,179199.68045619613
1642,224584.803503124
1643,220886.81408145383
1644,232262.85393194872
1645,239889.19208887772
1646,169991.5678636737
1647,168336.7943610258
1648,129967.35927085596
1649,139724.65864791998
1650,126072.88399501344
1651,128633.38127608607
1652,106313.61240184306
1653,111449.91112986596
1654,159070.12872988876
1655,156067.56723416547
1656,152321.68139290944
1657,161733.34458299918
1658,155144.7938526673
1659,136379.9629444845
1660,147500.73927870832
1661,450210.5438971007
1662,374184.5682734759
1663,349404.3541025322
1664,522708.8700660877
1665,308259.5424187793
1666,316430.72942983307
1667,370210.3229329068
1668,341856.183467455
1669,312642.6706687336
1670,336800.9729613412
1671,256542.71556761063
1672,408782.3165434617
1673,317259.5145450594
1674,271319.10808804847
1675,191127.08911203133
1676,199813.21015240106
1677,219502.0542315103
1678,431391.13802749885
1679,342229.68994082353
1680,295186.11226277525
1681,243763.13495554094
1682,296558.81856524886
1683,203813.109540465
1684,201199.6306495187
1685,181749.5543359267
1686,175821.8691207144
1687,188771.61911202708
1688,201521.32555105162
1689,206714.23502013946
1690,214096.4223635113
1691,206292.4881049557
1692,275246.59035699844
